,There,were,no,major,Eurobond,or,foreign,bond,offerings,in,Europe,Friday,.,E
RB,0.0049079754601226997,0.0,0.0029060381013884403,0.0,0.0,0.0,0.0,0.0,0.0,0.0017436228608330643,0.0,0.0,0.0,0.0
EX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBD,0.0,0.064137308039747071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DT,0.0,0.0,0.0084308790107768625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNP,0.0,0.0,3.2799072879539936e-05,0.00030612468020903944,1.0933024293179979e-05,0.0,0.00038265585026129928,0.0006669144818839788,0.0,3.2799072879539936e-05,0.002077274615704196,0.0043076115715129119,0.0,0.0
UH,0.0,0.0,0.13402061855670103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.009572504369701227,0.0,0.0,0.0055213421108515608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN,0.0,0.0,0.0,3.0089893557001543e-05,7.5224733892503858e-06,0.0,0.0,0.0021213374957686085,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.0,0.0,0.0,0.0,0.0,0.1056917359168163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007350975674953221,0.0,0.0,0.0,0.0,0.0
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064988730277986476,0.0,0.0,0.0,0.0
FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085470085470085479,0.0,0.0,0.0,0.0
RBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011312217194570137,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16941981045924062,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98839860175287497,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
