,S,There,were,no,major,Eurobond,or,foreign,bond,offerings,in,Europe,Friday,.,E
S,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RB,0.0,0.00027883983898015837,0.0,1.0973844018366594e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.5142890392809368e-33,0.0,0.0,0.0,0.0
EX,0.0,0.0042177144004820243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBD,0.0,0.0,4.4824260979162411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DT,0.0,0.0,0.0,6.3926610087106978e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNP,0.0,0.0,0.0,8.0767468992393275e-11,2.1625409472268737e-12,5.4251251744759185e-17,0.0,1.1782463197366715e-22,2.9609074721149436e-26,0.0,6.4348693227735498e-36,7.9393310530160475e-34,1.2886620595997602e-36,0.0,0.0
UH,0.0,0.0,0.0,6.0296850173384964e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.0,1.3346556677528009e-10,0.0,0.0,1.1753447102877586e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN,0.0,0.0,0.0,0.0,9.1363799302130981e-13,4.5183456974451049e-16,0.0,0.0,1.1220819749555513e-24,0.0,0.0,0.0,0.0,0.0,0.0
CC,0.0,0.0,0.0,0.0,0.0,0.0,1.9287438338007778e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4170402760531283e-29,0.0,0.0,0.0,0.0,0.0
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856597047416984e-33,0.0,0.0,0.0,0.0
FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.443184216876012e-34,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5531945611952246e-30,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9446577264666539e-38,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4582607809861262e-38
